============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> Carbon(  6 um) ==============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .1677669E+07   6000151E-02 -.6228E+03  .2583E+02   .9997586 -.0205973 -.0076423
T    2  1 .1667792E+07   6000118E-02  .1548E+03 -.4501E+03   .9997626  .0024995 -.0216454
T    3  1 .1710788E+07   6000021E-02 -.4415E+03 -.1313E+03   .9998610 -.0155215  .0060948
T    4  1 .1680120E+07   6000044E-02  .2015E+03 -.1307E+03   .9998689  .0138543 -.0083833
T    5  1 .1689622E+07   6000143E-02  .4311E+03  .5433E+03   .9999580  .0009543  .0091132
T    6  1 .1681645E+07   6000153E-02 -.4115E+03  .4379E+02   .9998541 -.0167249  .0034603
T    7  1 .1685252E+07   6000168E-02 -.1737E+03 -.3238E+03   .9999763 -.0047634 -.0049794
T    8  1 .1683179E+07   6000041E-02 -.4632E+03 -.3240E+03   .9998378 -.0174519 -.0044523
T    9  1 .1662637E+07   6000126E-02 -.2516E+03  .2238E+03   .9999011 -.0086140  .0111149
T   10  1 .1687675E+07   6000002E-02 -.5709E+02 -.9386E+03   .9993588 -.0088940 -.0346818
T   11  1 .1666308E+07   6000037E-02 -.2772E+03 -.1028E+02   .9998964 -.0114642 -.0087081
T   12  1 .1696173E+07   6000099E-02  .9314E+02  .9265E+02   .9999202  .0125923 -.0009786
T   13  1 .1675929E+07   6000128E-02 -.3634E+03 -.8513E+02   .9998356 -.0175833 -.0044235
T   14  1 .1677860E+07   6000145E-02  .5336E+03  .2856E+03   .9998949  .0137415  .0046182
T   15  1 .1693929E+07   6000045E-02 -.8648E+02 -.4326E+03   .9999692 -.0068589 -.0038189
T   16  1 .1687849E+07   6000147E-02 -.9964E+02  .2697E+02   .9999929 -.0036336 -.0009748
T   17  1 .1689286E+07   6000178E-02  .4077E+03  .7237E+03   .9998130  .0063645  .0182615
T   18  1 .1684927E+07   6000037E-02 -.4058E+02  .1287E+03   .9989613  .0437552  .0127184
T   19  1 .1696744E+07   6000160E-02  .3897E+03 -.3435E+03   .9999701  .0012417 -.0076298
T   20  1 .1703877E+07   6000093E-02  .5292E+03  .1845E+03   .9998122  .0192765  .0019884
T   21  1 .1675851E+07   6000091E-02 -.1247E+03 -.3797E+03   .9999792 -.0058833 -.0026332
T   22  1 .1699839E+07   6000007E-02  .3009E+03  .4034E+03   .9997630  .0142859  .0164263
T   23  1 .1655414E+07   6000167E-02 -.1643E+04 -.2288E+04   .9985064 -.0273010 -.0473236
T   24  1 .1682657E+07   6000097E-02  .4936E+03  .1257E+03   .9999999 -.0000253 -.0003588
T   25  1 .1676360E+07   6000174E-02  .1365E+03 -.2842E+03   .9987266  .0432191  .0260239
T   26  1 .1716941E+07   6000070E-02  .2308E+03  .7105E+02   .9998789  .0124903  .0092853
T   27  1 .1710394E+07   6000034E-02 -.1217E+03  .1953E+03   .9999579 -.0034221  .0085119
T   28  1 .1679938E+07   6000013E-02 -.1463E+03 -.1494E+03   .9999906 -.0012247 -.0041579
T   29  1 .1688982E+07   6000113E-02  .6646E+03 -.5734E+03   .9998107  .0175482 -.0084074
T   30  1 .1690017E+07   6000159E-02  .2587E+03 -.4232E+03   .9999345  .0072752 -.0088381
T   31  1 .1687964E+07   6000002E-02  .1246E+03  .2154E+03   .9999760  .0059227  .0036019
T   32  1 .1684060E+07   6000117E-02  .9828E+02  .7619E+02   .9999953  .0020088 -.0023373
T   33  1 .1701900E+07   6000140E-02  .4851E+03 -.9860E+02   .9999751  .0051478 -.0048296
T   34  1 .1693968E+07   6000000E-02  .2934E+03  .1974E+03   .9999326  .0101198  .0056832
T   35  1 .1691918E+07   6000023E-02  .8066E+03 -.8046E+03   .9995359  .0198197 -.0231318
T   36  1 .1693515E+07   6000026E-02 -.8008E+02 -.2313E+03   .9999732  .0058715 -.0043703
T   37  1 .1688694E+07   6000110E-02  .2477E+03  .3273E+03   .9997554  .0219211  .0029302
T   38  1 .1672379E+07   6000018E-02  .9997E+02 -.2379E+03   .9998007  .0096369 -.0174842
T   39  1 .1713338E+07   6000012E-02 -.1224E+03 -.8615E+02   .9999899 -.0024390 -.0037628
T   40  1 .1657905E+07   6000043E-02 -.3502E+03  .2382E+03   .9997333 -.0160597  .0165947
T   41  1 .1710910E+07   6000159E-02  .1704E+03 -.1419E+03   .9999570 -.0002359  .0092662
T   42  1 .1663707E+07   6000059E-02  .2574E+03  .3152E+02   .9999708  .0043906 -.0062615
T   43  1 .1665719E+07   6000077E-02 -.5348E+03 -.3119E+03   .9999910 -.0038435  .0017719
T   44  1 .1695259E+07   6000135E-02 -.2398E+02  .2400E+02   .9998102 -.0144506 -.0130639
T   45  1 .1678303E+07   6000142E-02 -.4336E+03  .2890E+03   .9999702 -.0075758  .0014702
T   46  1 .1709142E+07   6000143E-02 -.1750E+02 -.1404E+03   .9999957  .0010559 -.0027320
T   47  1 .1713762E+07   6000056E-02 -.1118E+03 -.6716E+02   .9999665 -.0069180 -.0043663
T   48  1 .1688435E+07   6000166E-02  .3690E+03 -.6328E+03   .9999829  .0041908 -.0040840
T   49  1 .1706132E+07   6000004E-02  .6861E+01  .4195E+03   .9998586 -.0054107  .0159225
T   50  1 .1684682E+07   6000149E-02 -.6868E+02  .1194E+04   .9973015  .0034023  .0733352
T   51  1 .1694431E+07   6000090E-02 -.3578E+03  .1783E+03   .9999375 -.0084514  .0073147
T   52  1 .1688046E+07   6000057E-02  .5144E+03  .1146E+03   .9998953  .0109885  .0094190
T   53  1 .1655733E+07   6000133E-02  .1628E+03  .4056E+03   .9999018  .0039363  .0134486
T   54  1 .1676591E+07   6000107E-02  .5744E+02  .9691E+02   .9999969  .0024873 -.0002916
T   55  1 .1674849E+07   6000156E-02  .3413E+03  .1117E+03   .9999284  .0060797  .0103070
T   56  1 .1686459E+07   6000070E-02  .4898E+03  .1030E+04   .9974909  .0159660  .0689703
T   57  1 .1679353E+07   6000115E-02 -.3038E+03  .7587E+03   .9995001 -.0133257  .0286711
T   58  1 .1681964E+07   6000003E-02 -.2069E+03 -.9439E+03   .9995557 -.0045353 -.0294574
T   59  1 .1700607E+07   6000059E-02 -.4698E+03  .1888E+03   .9999450 -.0080425  .0067364
T   60  1 .1678546E+07   6000031E-02 -.1505E+02 -.3012E+03   .9998486 -.0112172 -.0133043
T   61  1 .1694098E+07   6000037E-02 -.1358E+03  .2792E+03   .9999098 -.0014619  .0133511
T   62  1 .1660993E+07   6000174E-02 -.4379E+03 -.2251E+03   .9999519 -.0097447 -.0011168
T   63  1 .1712233E+07   6000086E-02 -.2223E+03 -.3401E+03   .9999020 -.0058739 -.0127052
T   64  1 .1681286E+07   6000002E-02 -.2087E+03 -.2739E+02   .9999403 -.0088349 -.0064224
T   65  1 .1701502E+07   6000062E-02 -.3605E+03  .1033E+03   .9997388 -.0228562 -.0000822
T   66  1 .1695745E+07   6000098E-02  .3445E+03 -.1906E+03   .9999392  .0109735 -.0010457
T   67  1 .1696651E+07   6000064E-02  .2959E+03  .1078E+03   .9998208 -.0006069 -.0189210
T   68  1 .1697694E+07   6000141E-02  .1172E+03  .7060E+03   .9998434 -.0014022  .0176402
T   69  1 .1684748E+07   6000135E-02  .1055E+03 -.4241E+03   .9999679  .0066198 -.0045108
T   70  1 .1686529E+07   6000102E-02  .1325E+04 -.1786E+03   .9990452  .0436755 -.0010263
T   71  1 .1714602E+07   6000110E-02 -.5164E+03 -.2412E+03   .9999269 -.0068314 -.0099761
T   72  1 .1680380E+07   6000048E-02  .1401E+03  .2930E+03   .9999133 -.0071248  .0110724
T   73  1 .1686019E+07   6000072E-02  .2444E+03  .3540E+03   .9999255  .0110375  .0052059
T   74  1 .1671062E+07   6000102E-02  .1651E+03  .2542E+03   .9999831  .0057798  .0006395
T   75  1 .1695434E+07   6000009E-02  .5629E+03  .6974E+03   .9996401  .0113124  .0243261
T   76  1 .1703209E+07   6000136E-02 -.2794E+03  .2590E+03   .9998514 -.0151836  .0081652
T   77  1 .1687636E+07   6000115E-02  .6353E+03  .2180E+03   .9997860  .0103296  .0179251
T   78  1 .1693247E+07   6000110E-02 -.1669E+03 -.3857E+02   .9999449  .0028507 -.0101023
T   79  1 .1681338E+07   6000165E-02  .5022E+03  .4943E+03   .9999137  .0128225 -.0028608
T   80  1 .1690997E+07   6000092E-02  .1722E+03  .2711E+03   .9997006 -.0167223  .0178625
T   81  1 .1666130E+07   6000093E-02 -.7476E+02  .3229E+03   .9999613 -.0013251  .0087011
T   82  1 .1674989E+07   6000106E-02 -.1745E+02 -.4902E+03   .9999290 -.0080417 -.0087992
